Gene ID,Vector_1,Vector_2,Vector_3,EGFP_1,EGFP_2,EGFP_3,PolyD_1,PolyD_2,PolyD_3,PolyE_1,PolyE_2,PolyE_3
YDR250C,6.599191,7.284096,9.906874,7.128013,4.88456,4.800268,4.406103,4.667313,4.882313,4.339628,5.36201,5.032891
YDR251W,43.833744,39.481503,53.441029,46.566956,42.259644,39.438812,37.362171,36.469292,34.126083,37.294632,38.088406,36.394485
YDR252W,23.353706,20.105698,24.618345,20.709179,17.219353,16.337069,24.543316,23.35634,23.691418,17.183739,22.59243,24.128424
YDR253C,17.730858,17.935358,23.220648,17.165443,18.785585,15.544933,23.482382,21.213045,23.855961,21.938618,18.28787,18.753012
YDR254W,18.856625,16.544104,26.92654,20.227552,21.565105,15.8183,23.78607,21.777767,21.786816,21.43211,20.455305,20.324633
YDR255C,14.819851,13.552976,21.692163,19.808809,18.600512,15.564435,20.3867,16.868185,19.012411,16.229662,14.673243,17.093134
YDR256C,21.585794,17.203321,19.918364,16.454573,13.906476,12.837195,14.626321,13.81951,15.482944,13.162922,16.267506,16.218363
YDR257C,30.251524,27.042604,35.764278,27.784149,24.437817,21.028025,27.695084,29.582781,29.319153,24.061169,29.571999,28.367788
YDR258C,46.619118,43.783627,65.6577,174.696152,156.646149,113.278725,100.978371,101.734665,114.137123,61.969391,52.526371,57.797939
YDR259C,10.704634,8.898279,14.284989,9.346358,9.093218,6.291674,8.065988,8.424532,8.302932,6.369545,7.48537,7.115755
YDR260C,57.927258,59.209858,65.342888,51.206249,44.408932,41.999268,59.322483,64.636841,72.386086,51.748341,63.836227,57.598724
YDR261C,83.534256,79.406593,96.29451,64.420464,62.738148,56.060322,76.547165,73.334297,73.722435,72.133713,71.565086,75.897957
YDR261C-C,0.007889,0.007417,0.036956,0.071668,0.112604,0.021618,0.047664,0.337461,0.0559,0.389062,0.191502,0.447207
YDR261C-D,97.544258,100.080559,126.335449,86.415825,69.371284,56.477989,46.958767,43.162888,47.254353,41.955635,53.149864,48.244091
YDR261W-A,2.180778,2.526064,2.549612,1.56197,1.506769,1.283437,1.448027,1.429567,1.403848,1.254205,1.702689,1.556906
YDR261W-B,16.762829,19.199858,19.079363,14.160376,12.650618,9.761793,9.850296,9.839028,11.608508,7.875408,10.741774,9.598185
YDR262W,87.523865,83.662498,110.048241,123.980125,111.310417,100.826462,90.956497,84.801071,90.273361,66.916878,77.042297,70.361046
YDR263C,15.938597,13.392385,14.96611,19.033747,16.575392,11.875014,18.810278,19.313387,16.399691,12.579927,14.74172,15.225702
YDR264C,141.713943,143.70134,165.556091,91.212341,81.866913,69.906891,78.75663,83.235786,85.578377,63.179035,79.546135,80.569267
YDR265W,29.868992,27.14287,35.384884,23.775272,22.208178,19.851582,25.232586,23.867367,24.931746,22.575962,27.475899,26.636602
YDR266C,32.154209,29.899508,36.469124,32.719227,30.664576,22.439562,32.821789,33.464977,32.832645,30.631666,34.726765,33.116489
YDR267C,69.522896,74.443108,71.136726,44.522678,38.063015,37.049335,45.265488,42.817539,41.428383,41.584366,51.065323,44.40527
